favoritos,fecha,nombre,retweets,usuario
32,2020-12-20 01:22:26,Juan Lloret,20,jotalloretv
225,2020-12-19 04:20:38,Juan Lloret,90,jotalloretv
34,2020-12-18 23:48:52,Juan Lloret,17,jotalloretv
10,2020-12-18 23:17:19,Juan Lloret,3,jotalloretv
90,2020-12-18 20:59:06,Juan Lloret,35,jotalloretv
33,2020-12-18 12:09:42,Juan Lloret,21,jotalloretv
81,2020-12-18 12:05:52,Juan Lloret,44,jotalloretv
153,2020-12-18 01:25:47,Juan Lloret,74,jotalloretv
69,2020-12-17 22:53:18,Juan Lloret,41,jotalloretv
56,2020-12-17 17:56:29,Juan Lloret,35,jotalloretv
54,2020-12-17 01:17:23,Juan Lloret,18,jotalloretv
65,2020-12-17 00:25:32,Juan Lloret,30,jotalloretv
16,2020-12-15 02:45:50,Juan Lloret,7,jotalloretv
58,2020-12-14 15:51:09,Juan Lloret,20,jotalloretv
275,2020-12-14 14:33:39,Juan Lloret,118,jotalloretv
25,2020-12-14 03:29:50,Juan Lloret,8,jotalloretv
60,2020-12-14 02:39:15,Juan Lloret,24,jotalloretv
104,2020-12-14 01:34:35,Juan Lloret,25,jotalloretv
19,2020-12-12 13:26:37,Juan Lloret,9,jotalloretv
140,2020-12-12 03:00:13,Juan Lloret,43,jotalloretv
40,2020-12-11 04:23:57,Juan Lloret,18,jotalloretv
27,2020-12-11 03:33:05,Juan Lloret,15,jotalloretv
19,2020-12-11 03:00:09,Juan Lloret,9,jotalloretv
69,2020-12-11 00:46:39,Juan Lloret,25,jotalloretv
371,2020-12-10 18:54:56,Juan Lloret,194,jotalloretv
402,2020-12-09 00:37:32,Juan Lloret,91,jotalloretv
231,2020-12-08 05:49:12,Juan Lloret,161,jotalloretv
62,2020-12-08 01:16:47,Juan Lloret,18,jotalloretv
71,2020-12-07 05:05:24,Juan Lloret,18,jotalloretv
84,2020-12-07 04:44:27,Juan Lloret,16,jotalloretv
63,2020-12-07 04:09:44,Juan Lloret,18,jotalloretv
118,2020-12-06 17:28:09,Juan Lloret,39,jotalloretv
24,2020-12-04 23:06:06,Juan Lloret,11,jotalloretv
52,2020-12-03 15:34:14,Juan Lloret,42,jotalloretv
46,2020-12-02 16:43:14,Juan Lloret,27,jotalloretv
102,2020-12-02 16:08:04,Juan Lloret,46,jotalloretv
9,2020-12-02 15:22:49,Juan Lloret,3,jotalloretv
19,2020-12-02 15:17:02,Juan Lloret,10,jotalloretv
83,2020-12-02 14:25:11,Juan Lloret,50,jotalloretv
238,2020-12-02 00:16:12,Juan Lloret,103,jotalloretv
33,2020-12-02 00:05:40,Juan Lloret,23,jotalloretv
37,2020-12-01 16:21:28,Juan Lloret,12,jotalloretv
490,2020-11-30 21:24:26,Juan Lloret,274,jotalloretv
10,2020-11-30 16:37:52,Juan Lloret,1,jotalloretv
66,2020-11-30 01:25:09,Juan Lloret,26,jotalloretv
96,2020-11-29 13:21:35,Juan Lloret,13,jotalloretv
319,2020-11-29 05:04:10,Juan Lloret,168,jotalloretv
322,2020-11-28 23:48:00,Juan Lloret,130,jotalloretv
91,2020-11-28 20:33:32,Juan Lloret,48,jotalloretv
6,2020-11-28 15:10:58,Juan Lloret,3,jotalloretv
0,2020-11-26 21:43:23,Juan Lloret,1,jotalloretv
31,2020-11-26 03:44:21,Juan Lloret,10,jotalloretv
0,2020-11-26 03:28:56,Juan Lloret,0,jotalloretv
32,2020-11-25 17:02:31,Juan Lloret,11,jotalloretv
622,2020-11-25 01:39:22,Juan Lloret,182,jotalloretv
104,2020-11-24 23:10:19,Juan Lloret,51,jotalloretv
492,2020-11-24 20:33:42,Juan Lloret,255,jotalloretv
143,2020-11-24 14:16:34,Juan Lloret,86,jotalloretv
33,2020-11-24 02:46:49,Juan Lloret,9,jotalloretv
205,2020-11-23 22:55:14,Juan Lloret,106,jotalloretv
6,2020-11-22 21:00:41,Juan Lloret,2,jotalloretv
143,2020-11-22 18:46:46,Juan Lloret,41,jotalloretv
120,2020-11-22 05:06:03,Juan Lloret,49,jotalloretv
209,2020-11-21 13:51:25,Juan Lloret,103,jotalloretv
6,2020-11-21 00:04:57,Juan Lloret,1,jotalloretv
54,2020-11-21 00:02:26,Juan Lloret,22,jotalloretv
56,2020-11-20 21:15:59,Juan Lloret,20,jotalloretv
82,2020-11-20 15:35:44,Juan Lloret,37,jotalloretv
261,2020-11-20 15:15:07,Juan Lloret,84,jotalloretv
3,2020-11-20 00:59:05,Juan Lloret,1,jotalloretv
1,2020-11-19 14:14:29,Juan Lloret,0,jotalloretv
54,2020-11-19 01:25:21,Juan Lloret,18,jotalloretv
273,2020-11-18 17:33:38,Juan Lloret,119,jotalloretv
4,2020-11-17 23:26:25,Juan Lloret,3,jotalloretv
33,2020-11-17 23:07:43,Juan Lloret,10,jotalloretv
63,2020-11-17 16:48:21,Juan Lloret,29,jotalloretv
471,2020-11-17 04:30:45,Juan Lloret,232,jotalloretv
36,2020-11-17 04:10:37,Juan Lloret,21,jotalloretv
184,2020-11-16 22:13:51,Juan Lloret,112,jotalloretv
122,2020-11-16 02:30:36,Juan Lloret,64,jotalloretv
98,2020-11-14 04:12:25,Juan Lloret,53,jotalloretv
143,2020-11-13 13:49:36,Juan Lloret,103,jotalloretv
27,2020-11-12 15:50:11,Juan Lloret,6,jotalloretv
123,2020-11-12 04:53:53,Juan Lloret,60,jotalloretv
17,2020-11-12 04:05:18,Juan Lloret,5,jotalloretv
1,2020-11-11 13:19:08,Juan Lloret,4,jotalloretv
19,2020-11-06 02:46:36,Juan Lloret,9,jotalloretv
208,2020-11-06 02:19:39,Juan Lloret,76,jotalloretv
1076,2020-11-05 19:50:32,Juan Lloret,578,jotalloretv
41,2020-11-05 18:45:48,Juan Lloret,16,jotalloretv
442,2020-11-05 04:58:37,Juan Lloret,214,jotalloretv
549,2020-11-04 18:59:14,Juan Lloret,404,jotalloretv
6,2020-11-04 15:15:01,Juan Lloret,0,jotalloretv
30,2020-11-04 05:34:55,Juan Lloret,4,jotalloretv
428,2020-11-03 23:23:13,Juan Lloret,167,jotalloretv
47,2020-11-03 22:50:34,Juan Lloret,11,jotalloretv
146,2020-11-03 16:33:00,Juan Lloret,40,jotalloretv
207,2020-11-02 03:50:08,Juan Lloret,100,jotalloretv
17,2020-11-01 20:33:10,Juan Lloret,5,jotalloretv
263,2020-10-31 16:21:36,Juan Lloret,135,jotalloretv
17,2020-10-31 15:01:12,Juan Lloret,5,jotalloretv
30,2020-10-30 23:08:37,Juan Lloret,6,jotalloretv
131,2020-10-30 15:52:58,Juan Lloret,46,jotalloretv
127,2020-10-28 03:22:56,Juan Lloret,35,jotalloretv
110,2020-10-27 09:22:03,Juan Lloret,29,jotalloretv
212,2020-10-26 22:31:01,Juan Lloret,86,jotalloretv
56,2020-10-26 03:39:28,Juan Lloret,29,jotalloretv
76,2020-10-26 03:12:12,Juan Lloret,24,jotalloretv
120,2020-10-25 15:55:24,Juan Lloret,40,jotalloretv
63,2020-10-25 12:22:23,Juan Lloret,15,jotalloretv
345,2020-10-25 00:52:25,Juan Lloret,91,jotalloretv
165,2020-10-24 16:53:22,Juan Lloret,50,jotalloretv
